p.total_normA = 4096.531250
p.total_normB = 4096.532227
[info] elements obtained by MM and AMM
my kernel,cuBLAS
82.214531, 86.571640
-80.932152, -69.438690
-15.262816, -25.988300
-41.385685, -40.181934
-51.751984, -56.173481
11.900607, 6.439885
69.222191, 66.350975
81.796219, 100.121086
13.810362, 18.553028
-24.787836, -38.774551
-4.100359, -2.378675
37.451931, 37.340736
7.826554, -5.601275
97.426003, 84.109329
-78.677132, -100.342880
-10.994042, -19.271421
36.716900, 30.183994
-57.514355, -55.511532
2.418481, 5.762472
-34.156586, -32.146389
-56.944275, -57.272419
-17.489523, -24.835600
-8.650474, -0.949293
-29.915089, -22.611731
-102.945129, -100.560020
-99.071602, -87.265060
19.628761, 12.973948
7.129095, 13.689058
-98.996010, -105.497932
-59.545551, -69.943420
41.715355, 27.252052
-101.116295, -110.865753
-61.722343, -65.507851
-35.579975, -24.407936
-135.466095, -137.137817
-35.115517, -37.524586
-29.700993, -30.565001
69.728416, 70.966843
-11.899509, -9.386647
128.305435, 123.130478
27.172390, 12.358828
65.542686, 67.424751
-58.045181, -57.961422
-77.868835, -80.444763
0.470000, 9.388441
-6.456518, -0.895404
16.657303, 20.503086
14.881379, 19.842087
65.815147, 63.313560
-99.410378, -101.114357
-90.616447, -79.926155
76.389076, 78.645172
16.663473, 22.815502
136.484894, 123.016624
-51.897255, -49.688126
8.574764, 29.014280
-14.469523, -6.360456
-61.236050, -59.283535
-57.406345, -52.966290
-8.622272, -8.873644
107.609787, 103.503136
-15.143193, -8.666409
140.018265, 144.264572
-39.414505, -40.248463
-21.569763, -21.612911
-37.506676, -35.065746
46.830208, 53.447105
-10.962523, -18.260637
50.990257, 46.648155
-18.875313, -32.499207
123.008781, 121.152237
61.110413, 67.336311
1.098940, -21.633333
-41.307163, -39.352947
5.322347, 21.357798
-40.449158, -44.985943
122.282700, 123.418137
35.777592, 28.998354
-59.263725, -57.464706
56.650436, 70.878105
-19.019978, -12.527533
-18.570946, -18.661297
109.716972, 112.985703
-83.910042, -83.840584
33.393673, 21.829821
7.848155, -7.306223
